ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,93,76.23616476193105,56.60809359218908,3,3
1,94,74.91352276980173,65.25164619318333,3,3
1,95,59.34481369247785,41.04073504048223,3,3
1,96,63.26936611372322,41.873254140142514,3,3
1,97,62.586858342596834,48.46828422891525,3,3
1,98,83.44004418181551,76.74572710161186,3,3
1,99,79.52603886027843,71.8911890053776,3,3
1,100,58.497763289149766,37.400169994422214,3,3
1,101,62.42419174613643,41.102502986215924,3,3
1,102,62.967047988030025,50.00346262453689,3,3
1,103,58.95753280370061,43.49689953989853,3,3
1,104,58.33970509750676,37.034724578748076,3,3
1,105,70.82901485425624,51.02960516000924,3,3
1,106,87.57317885284495,70.41862975478409,3,3
1,107,73.63283553934775,66.01954559990611,3,3
1,108,54.20728174174271,34.82771326821526,3,3
1,109,55.443120236221525,34.18974544887192,3,3
1,110,57.231991462620414,43.04645851798016,3,3
1,111,56.79326711456152,35.43257429807819,3,3
1,112,68.55751795384562,49.119879629082895,3,3
1,113,70.97068664783589,51.831950076187894,3,3
1,114,59.762901293481356,47.4295530400047,3,3
1,115,52.85435166046876,34.82917574010058,3,3
1,116,61.70159473716551,41.47056369620356,3,3
1,117,77.6567876437758,71.68151554972528,3,3
1,118,55.62757934473951,34.281158417331234,3,3
1,119,66.49991902625611,58.975724794504615,3,3
1,120,49.762168873152916,29.588066264801505,3,3
1,121,51.7206596090677,30.40434531725871,3,3
1,122,69.21709938774077,50.78566614231343,3,3
1,123,47.512916531288305,nan,4,0
1,124,56.11183382816229,44.68762060014034,3,3
1,125,49.58896171995373,30.431984790741943,3,3
1,126,56.42380386774726,35.39787304834524,3,3
1,127,65.47379160668606,46.549574880687594,3,3
1,128,72.66413881091701,67.2609833865885,3,3
1,129,51.911708797328465,30.548028641461716,3,3
1,130,79.94062069823596,63.708987754316716,3,3
1,131,109.17884523465456,nan,1,0
1,132,67.83703553818084,61.73549150815415,3,3
1,133,58.13673662653397,48.515085068822174,3,3
1,134,47.398871776318074,30.067627145485066,3,3
1,135,70.39204063656794,53.05853337503756,3,3
1,136,74.45101389193525,57.554406078577145,3,3
1,137,84.9195147063656,69.16077708566127,3,3
1,138,75.34099253157895,70.91774979430951,3,3
1,139,56.584893381476384,90.13649876311196,4,4
1,140,59.03130885497276,51.25401754660899,3,3
1,141,52.34765056669306,41.247603623106926,3,3
1,142,48.16996832756129,34.24623489479189,3,3
1,143,46.7852517987357,31.59031305413392,3,3
1,144,45.33552924527777,25.778788940852582,3,3
1,145,45.58728442787621,24.683678207876763,3,3
1,146,50.23772810461707,29.282636835593372,3,3
1,147,58.14128433814658,39.010130925937034,3,3
1,148,61.07328510376498,42.299697439925495,3,3
1,149,78.73312365411552,75.88142036413122,3,3
1,150,52.80190826447342,32.654638648683814,3,3
1,151,93.22044621575235,79.13048242993162,3,3
1,152,47.39354635628812,35.06702087931767,3,3
1,153,60.56917168536725,42.29523787954785,3,3
1,154,69.73271170193657,53.30942260452366,3,3
1,155,75.90715967359714,60.294543135712374,3,3
1,156,84.37397542617882,69.66989291167907,3,3
1,157,52.25127242868741,87.09252631147821,4,4
1,158,83.06164471698452,81.33695835195161,3,3
1,159,48.409522331491466,37.46552507124106,3,3
1,160,44.11476704517623,29.41480593536708,3,3
1,161,43.99447070203449,28.146813815339733,3,3
1,162,45.230397939731525,23.940488328754714,3,3
1,163,64.23585446809673,46.74383224884679,3,3
1,164,68.2025258453263,65.13352312563246,3,3
1,165,51.93489159667522,43.52058457103932,3,3
1,166,41.09418168805073,21.877635512431706,3,3
